text,link,new
"Conveniently excluding some test subjects","https://www.mareonline.nl/en/news/psychologist-committed-fraud-in-15-articles-how-test-subjects-kept-disappearing/",FALSE
"Threatening your participants into providing useful data","",FALSE
"Just science done wrong","",FALSE
"Well-cited studies with 50 failed replication attempts","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8139580/",FALSE
"Citizen scientists breaking the only working printer","",FALSE
"Mugs of coffee at 3 am","",FALSE
"Making my research open and reproducible while my competitors are p-hacking their way into the big journals","https://embassy.science/wiki/Theme:6b584d4e-2c9d-4e27-b370-5fbdb983ab46",FALSE
"Impact factors","",FALSE
"Predatory journals","https://thinkchecksubmit.org/",FALSE
"Sacrificing the intern","",FALSE
"Flawless replication","",FALSE
"A USB-stick full of sensitive data","https://www.rug.nl/digital-competence-centre/privacy-and-data-protection/data-protection/data-leak?lang=en",FALSE
"Leaving academics to become a beet farmer","https://media.giphy.com/media/dXf93EHY6advUBYC0u/giphy.gif",FALSE
"The effects of moon phases on stock market trends","",FALSE
"scriptA_001_final_new_after_feedback_actually_final2.R","https://r-bio.github.io/intro-git-rstudio/",FALSE
"Smashing things together until results fall out","",FALSE
"Coffee stained data management plans","",FALSE
"Post-its with 'pls do not steal thx' as a license","https://zenodo.org/record/2248200",FALSE
"The FAIRy spreading her FAIRy principles all over our data in the night","https://www.go-fair.org/fair-principles/",FALSE
"Workload piling up and sanity breaking down","https://www.go-fair.org/fair-principles/r1-1-metadata-released-clear-accessible-data-usage-license/",FALSE
"Being an expert in your field AND data management AND ethics AND software development AND public engagement AND ...","https://blog.esciencecenter.nl/researchers-are-not-born-engineers-why-are-they-expected-to-know-how-to-code-1eeb5c3d03c0",FALSE
"A python 2.7 script I inherited from a previous PhD student who left 10 years ago","https://book.the-turing-way.org/collaboration/new-community/new-community-techissues.html?highlight=legacy#reproducibility-is-even-more-important",TRUE
"A machine that's still running on Windows 95","",TRUE
"3 hours of an troubleshooting a missing comma","",TRUE
"Dockerizing my PhD's precarious working conditions","https://book.the-turing-way.org/reproducible-research/renv/renv-containers.html",TRUE
"Sending users to 'users/One Drive/C:/Documents/projects/grant-projects/old-grants/ERC/pilot1/'","",TRUE
"Sofware maintained by a lonely Belgian professor","https://lavaan.ugent.be/about/about.html",TRUE
"A tiny shell script that replaces my job","",TRUE
"Coding with my crush","",TRUE
"Sending code around via e-mail","",TRUE
"Being accused of Marxist tendencies","https://www.tandfonline.com/doi/full/10.1080/02691728.2022.2156308",TRUE
"Ignoring the 10k issues users submitted to my OS project","",TRUE
"Citing stackoverflow in your research paper","",TRUE
"Code that explains itself","",TRUE
"The holy grail of clean code","",TRUE
"chatGPT","",TRUE
"Rubber duck debugging","",TRUE
"Putting a plain-text personal access token on GitHub","",TRUE
"(sudo) rm -r /","",TRUE
"Untested code generated by an LLM","https://www.itworldcanada.com/post/research-raises-concerns-over-ai-impact-on-code-quality",TRUE
"The university suing us for making our code publicly available.","https://fair-software.nl/recommendations/license",TRUE
"Where code goes to die","https://www.metabase.com/blog/bus-factor",TRUE
